,Pub Date,Headline+abstract,predicted
321,2013-11-27,"Apple’s Pages, Going the Distance With Word : To point out the vast improvement in the new version of Pages, we offer a three-round comparison bout between it and Word.",1.0
331,2013-12-03,"Apple Buys Topsy, a Social Media Analytics Firm : The hardware maker acquired Topsy Labs, which focuses on analyzing the half a billion messages sent over Twitter every day.",1.0
337,2013-12-03,"Extra FaceTime IDs, and Reordering Email : Tips on creating additional FaceTime addresses under one Apple ID, and how to turn off message threading.",1.0
330,2013-12-04,Icahn Discloses Latest Push for an Apple Buyback : Carl C. Icahn told Time magazine that he had filed a “precatory proposal” with Apple to strengthen his push for the company to increase its stock buyback program.,2.0
334,2013-12-07,"I Switched Phones. Where Did Those Text Messages Go? : The Haggler switches from an Apple to an Android phone, and finds that text messages don’t necessarily follow suit.",1.0
338,2013-12-09,"Roasted Apple and Blue Cheese Tart : Melissa Clark serves a sophisticated roasted apple, shallot and blue cheese tart at her holiday cocktail party.",1.0
333,2013-12-09,Mott and Mulberry : Leo Robitschek from the NoMad in New York City created a whiskey cocktail with a hint of crisp apple.,1.0
332,2013-12-09,"A Savory Apple Tart Revives the Party : A tart with a comforting topping of roasted apples, shallots and pungent blue cheese is an elegant and unexpected complement to nearly any holiday meal.",1.0
349,2013-12-11,Apple Family Plays to Be Filmed for PBS : WNET will record the Richard Nelson cycle for broadcast at a future date.,1.0
341,2013-12-11,"Worker Deaths Raise Questions at an Apple Contractor in China : The Pegatron Corporation, which makes iPhones and iPads, acknowledged the recent deaths of young workers, but said it wasn’t because of poor conditions.",0.0
343,2013-12-11,"Worker Deaths Raise Questions at an Apple Contractor in China : The Pegatron Corporation, which makes iPhones and iPads, acknowledged the recent deaths of young workers, but said it wasn’t because of poor conditions.",0.0
342,2013-12-12,"Korean Court Rejects Samsung Lawsuit Against Apple : In the latest twist in a global patent fight between the two companies, the ruling said Apple had not infringed on Samsung patents relating to mobile messaging technology.",0.0
348,2013-12-12,Eating With the Apple Family : A look behind the scenes at the food in Richard Nelson’s Apple Family cycle of plays.,1.0
345,2013-12-16,Creating Experiences to Sell Gadgets : Many consumer electronic companies are taking Apple’s cue in establishing their own retail stores that serve as emporiums of cool.,2.0
340,2013-12-17,"Apple Says ‘Beyoncé’ Set a Record on iTunes : Apple said Beyoncé’s surprise release last week was the fastest-selling album in iTunes history, reaching No. 1 in the sales rankings in 104 countries.",2.0
351,2013-12-22,"China Deal Gives Apple Big Market to Court : The agreement to bring the iPhone to China Mobile could, at least initially, give Apple a big lift into the vast Chinese market, analysts say, increasing its global sales.",2.0
359,2013-12-23,Apple in major China i-phone deal : Apple announces a major deal with China Mobile to sell its iPhone products through the world's biggest network of mobile phone users. Sarah Toms reports.,2.0
352,2013-12-23,"Daily Report: Apple Signs iPhone Deal With China Mobile : The agreement could, at least initially, give Apple a big lift into the vast Chinese market, analysts say, increasing its global sales.",2.0
355,2013-12-24,"Futuristic Mac Pro Has Power to Spare : Apple’s new Mac Pro is aimed at the creative professionals who have always relied on Macs for video, graphics, music and photo manipulation.",2.0
358,2013-12-25,"Apples for a Seasoned Acting Teacher : The venerated acting teacher Wynn Handman, 91, is celebrated in a new book, “Wynn Place Show,” and by former students like Chris Cooper.",1.0
350,2013-12-31,Apple Says It Is ‘Unaware’ of N.S.A. iPhone Hack Program : Apple said it would continue to try to defend customers from security attacks “regardless of who’s behind them.”,1.0
353,2013-12-31,"Why Do Android Smartphones Guzzle the Most Data? : Android smartphones are kind of like Hummers. Similar to the oversized, gas-guzzling SUVs, Android phones have the biggest screens and tend to use much more data than other types of smartphones, including iPhones. The higher data usage could rack up heftier phone bills.",0.0
365,2014-01-02,"Investors lock in 2013 gains, sinking stocks : Summary: Rocky start for stocks in 2014; Apple, Netflix fall; U.S. economy still improving; Martha settles with Macy's; Fiat's Chrysler deal. Bobbi Rebell reports.",0.0
366,2014-01-06,"Samsung Electronics Goes Big on Tablets : Samsung Electronics, the No. 1 handset maker, is trying to take on both Microsoft and Apple with two tablets aimed at professional users.",1.0
364,2014-01-06,"Asking Siri About ‘Her’ : Apple’s programmers were ready when users asked Siri about Samantha, the operating system in “Her.”",1.0
362,2014-01-07,"Taking Along iCloud Calendars : Apple’s iCloud data service works best with Apple’s own devices, but it is possible to make it work with other companies’ hardware.",1.0
360,2014-01-09,"Apple and Samsung Chiefs to Meet a Mediator Ahead of Next Patent Suit : In March, Apple and Samsung Electronics are scheduled to go to trial again to fight over smartphone patents. But after discussing settlement opportunities earlier this week, the companies have agreed to meet with a mediator.",1.0
368,2014-01-09,"Today’s Scuttlebot: A World of Bitcoins and Unicorns, and the Anniversary of the iPhone : Thursday’s highlights from around the web include Businessweek’s cover story on the arms race brewing over Bitcoin mining. Plus, seven years ago, Steven P. Jobs of Apple unveiled the company’s first iPhone.",1.0
361,2014-01-10,"Changes in Windows 8.1, With Skype Replacing Messaging App : A summary of differences in the latest Windows upgrade, and how to share files between Apple devices.",1.0
375,2014-01-13,"Daily Report: Apple Makes Its Bid for Bigger Share of Indian Smartphone Market : To draw young buyers and increase its market share in India, Apple has offered promotions like monthly payments and trade-ins.",2.0
370,2014-01-14,"Secretive Apple Squirms in Gaze of U.S. Monitor : Apple is campaigning aggressively against a court-appointed inspector, saying he is intruding on operations.",0.0
373,2014-01-15,Apple to Refund App Store Purchases Made Without Parental Consent : The chairwoman said the F.T.C. settlement was “more robust” and more thorough than an earlier lawsuit settlement.,1.0
372,2014-01-16,"Apple and Samsung Widen Lead in U.S. Phone Market : Apple and Samsung Electronics, the two technology companies that make almost all the profit in the smartphone market, have grown even stronger in the United States.",2.0
371,2014-01-17,"A Muted Beginning to Sales of Apple’s iPhone Through China Mobile  : Customers were finally able to buy iPhones from China Mobile on Friday, but the turnout was underwhelming in Beijing, even with Apple’s chief on hand.",0.0
374,2014-01-17,"Daily Report: Apple’s China Mobile Deal Gets Off to a Weak Start : Instead of the round-the-block lines that have greeted Apple product introductions in China and other countries in the past, only about a dozen customers showed up to buy iPhones at the opening of a store in Beijing on Friday.",0.0
386,2014-01-21,Apple Wins Temporary Stay on Court Monitor : Apple won a small victory in its attempt to oust a court-appointed monitor. The court ruling sets the stage for more legal battles to come.,0.0
384,2014-01-22,"Apple iPhone Sales Expected to Break Records : Apple is expected to announce record iPhone sales for the last quarter of 2013, according to analyst estimates.",2.0
385,2014-01-27,"Apple’s Earnings, Bernanke’s Farewell : Highlights of the business week will include Ford and Chrysler earnings and the first look at fourth-quarter economic output.",1.0
382,2014-01-28,"A Small Window Into Apple, Courtesy of Tim Cook : Timothy D. Cook, Apple’s chief executive, offered some valuable insights about the company during the question and answer segment of Monday’s earnings call.",1.0
381,2014-01-28,"As Apple Shares Fall, Icahn Plucks More : Carl C. Icahn took to his favorite broadcasting tool, Twitter, on Tuesday to disclose that he had purchased an additional $500 million shares in the iPhone maker.",2.0
387,2014-01-30,"Another Option for an Upgrade From Windows XP : Plus, working with multiple Apple ID accounts.",1.0
389,2014-01-30,"In Motorola Purchase, Lenovo Gains Big Footprint in Smartphones : The Chinese PC giant’s purchase of Motorola Mobility from Google has vaulted it into the field’s top three, though it has a long way to go to catch Apple or Samsung.",2.0
383,2014-01-31,Apple Executives Met With F.D.A. to Discuss Mobile Medical Applications : A group of senior Apple executives met with directors from the Food and Drug Administration last month to discuss mobile medical applications. These meetings could involve the coming Apple smartwatch.,1.0
380,2014-01-31,"Investors and Customers Yearn for an Apple iThingamajig : Timothy D. Cook, Apple’s chief executive, keeps promising a new product category from Apple, but investors are getting antsy as other product sales start to slow.",0.0
393,2014-02-01,Trying to See Apple From a Different Angle : Wall Street can’t decide whether a giant company can still grow by leaps and bounds — or whether it even needs to.,1.0
398,2014-02-03,"Tech Companies Offer Update on Government Data Requests : Facebook, Google, Microsoft, LinkedIn, Yahoo and Apple have released information pertaining to the number of government data requests the companies receive for people who use these services.",1.0
391,2014-02-06,"Apple Takes Down a Bitcoin App : The app, named BlockChain, was one of the last remaining iPhone mobile applications that allowed users to buy and sell Bitcoin.",0.0
392,2014-02-10,"I.S.S. Sides With Apple in Battle Against Icahn : Institutional Shareholder Services, the prominent proxy advisory firm, told clients in a note on Sunday that they should vote against Carl Icahn’s proposal calling for a $50 billion stock buyback.",0.0
394,2014-02-10,"New York City Comptroller Resists Investor’s Calls for Apple Buyback : Scott M. Stringer will urge investors to vote against a proposal for a stock buyback worth $50 billion, arguing that Apple’s management should make such decisions itself.",0.0
390,2014-02-10,"Icahn Ends Call for Apple Stock Buyback : The activist investor Carl C. Icahn’s six-month campaign for Apple to increase shareholder payouts ended as other major investors voiced opposition, but Mr. Icahn still claimed a victory of sorts.",1.0
405,2014-02-11,Court Rejects Apple Appeal in E-Book Case : Apple appealed the placement of a monitor to ensure compliance with federal antitrust laws.,0.0
407,2014-02-12,"Apple and Samsung Took All Handset Profits in Fourth Quarter : Last year, Asian handset makers like Huawei, Lenovo and LG gained traction in the mobile phone business. Yet Samsung Electronics and Apple, the top two handset makers in the world, made all of the industry’s profits.",2.0
406,2014-02-13,"Apple Says War Zones Don’t Ship Its Supplies : Apple said that it had confirmed that its suppliers did not use tantalum, a type of metal commonly used in electronics, containing minerals from areas engaged in warfare.",1.0
404,2014-02-17,Buckwheat Crêpes With Caramelized Apples : Flavorful crêpes that can be handle both sweet and savory toppings.,1.0
400,2014-02-17,Apple Compote : Freshly made applesauce is several cuts above the store bought variety.,1.0
402,2014-02-17,"Apple, Lime and Chia Smoothie : A pale green smoothie with a kick.",1.0
401,2014-02-17,"Country Bread With Apples : A moist, rustic country bread with a sweet touch.",1.0
403,2014-02-17,"Apple and Bitter Lettuces Salad : A salad with many contrasts: sweet and bitter, crunchy and juicy.",1.0
409,2014-02-18,"Keeping a Computer Offline : Using a computer without connecting to the Internet, and how two people can watch, and hear, a movie together on an iPad.",1.0
408,2014-02-19,"John A. Catsimatidis : Mr. Catsimatidis, 65, is the owner and chief executive of the Red Apple Group, a New York company with holdings in real estate, oil refining and other industries.",1.0
410,2014-02-21,"How Do You Like These Apples? : Take apples beyond the pie and try them in smoothies, sauces, salads, crepes and breads, writes Martha Rose Shulman in this week’s Recipes for Health.",1.0
412,2014-02-24,"For Hints at Apple’s Plans, Read Its Shopping List : Apple has avoided jaw-dropping takeovers in favor of a series of smaller deals, using the companies to buttress or fill a gap in products that already exist or are in development.",1.0
413,2014-02-24,"Daily Report: Apple’s Unsplashy Acquisitions Point to Future Plans : The companies acquired by Apple in a 15-month period were small and apparently carefully targeted to existing projects, in contrast to the jaw-dropping deals seen among its rivals.",1.0
411,2014-02-25,Apple Issues Fix for Security Problem on Macs : The flaw allows a hacker to penetrate communications a user would have believed were safely encrypted.,0.0
414,2014-02-25,Apple’s Serious Security Issue: Update Your iPhone or iPad Immediately : A serious security flaw in Apple’s Safari browser means web sessions you thought were secure might not be. There’s a fix for iOS: go get it now.,0.0
417,2014-02-25,"Disney Throws Open the Gates to Its Own Digital Movie Service : The Disney Movies Anywhere online service will link to consumers’ iTunes accounts and is intended to encourage digital movie sales, rather than rentals.",2.0
428,2014-03-01,"Engineers Allege Hiring Collusion in Silicon Valley : A class-action suit by Silicon Valley engineers against companies including Google, Apple and Intel has revealed details of an agreement among them not to cold-call one another’s employees.",0.0
427,2014-03-03,Bypassing a Credit Card Requirement for Apps : Downloading free apps or other content from Apple’s stores doesn’t require having a credit card on file.,1.0
429,2014-03-04,"Ferrari, Mercedes and Volvo get Apple's 'CarPlay' : Apple is putting its operating system into supercars by Ferrari and vehicles from Mercedes and Volvo, allowing drivers to control Apple apps and, says the tech firm, making driving safer.  Julian Satterthwaite reports.",2.0
421,2014-03-04,"Apple’s CarPlay Captivates the Auto Industry : CarPlay links an Apple 5, 5c or 5s iPhone with the car’s infotainment system, letting the car use Apple’s apps.",2.0
423,2014-03-04,"Apple Says Its Chief of Finance Will Retire : The executive, Peter Oppenheimer, will be replaced by Luca Maestri, a vice president at the company.",1.0
424,2014-03-04,"Apple’s New CarPlay Is Almost a Step in the Right Direction : CarPlay system brings voice control, an iOS-like interface, maps and messaging into certain cars.",2.0
422,2014-03-05,"Daily Report: Chief of Finance at Apple to Retire : The executive, Peter Oppenheimer, will be replaced by Luca Maestri, a vice president at the company.",1.0
426,2014-03-06,"Colluding Against Programmers : A class action lawsuit against employers in Silicon Valley, including Apple and Google, has lifted the curtain on secret, anti-competitive deals.",0.0
420,2014-03-10,"Apple Releases First Big Software Update for iOS 7 : Apple on Monday is set to release its first major update for iOS 7, its new operating system for iPhones and iPads. The upgrade improves reliability of the fingerprint sensor in the iPhone 5S and adjusts the way that Siri works, among other changes and fixes.",1.0
435,2014-03-12,"Transferring Old Palm Desktop Data : Plus, picking a drive for Apple’s Time Machine.",1.0
438,2014-03-18,"Google Unveils Software for Smartwatches-to-Be : In a pre-emptive move against Apple, Google revealed Android Wear, a version of the Android operating system that is tailored for wearable computers.",1.0
431,2014-03-18,"A Conversation With Yukari Kane, Author of ‘Haunted Empire: Apple After Steve Jobs’ : In an interview, Ms. Kane talked about the highlights of her new book, and a company struggling to cope with the loss of its visionary founder.",0.0
432,2014-03-18,Microsoft may unveil Office for iPad : Microsoft CEO Satya Nadella may bring new change to Microsoft by offering a version of Office for the iPad.,2.0
430,2014-03-18,"Apple to Offer Cheaper iPhone 5C in Several Markets : The colorful plastic iPhone hasn’t been as big a hit as the high-end iPhone 5S. So to lure more customers, Apple is introducing another model in a few markets, including China.",2.0
444,2014-03-21,Apple After Jobs: Pretty Much the Same as Ever : A new book on Apple’s state after Steve Jobs paints a dire picture of a company losing its way. Farhad Manjoo disagrees.,0.0
441,2014-03-25,"In Two Settlements, Money for Apple and Amazon Customers : Apple and Amazon customers on Tuesday were notified of opportunities to get some money back as a result of two separate legal settlements with the government. Both cases revolve around Apple.",1.0
442,2014-03-25,"Apple Invites Parents to Review In-App Purchases : If your children have been making in-app purchases on iTunes without your permission, Apple is offering a refund.",1.0
449,2014-03-27,"Microsoft to Offer Office for iPad, Maybe a Bit Late  : Owners of Apple’s tablet will be able to use Word, Excel, PowerPoint and other popular productivity tools — but they still may not want to.",0.0
440,2014-03-31,"Apple’s War on Samsung Has Google in Crossfire : Apple is seeking about $2 billion in damages from Samsung, which in turn says Apple violated its patents, but the case could also have major implications for Google.",0.0
443,2014-03-31,Daily Report: Apple-Samsung Patent Face-Off Has Google in Crossfire : A court battle between Apple and Samsung over patents could have a bigger effect on Google’s Android operating system.,1.0
445,2014-03-31,"Meet Lucy H. Koh, a Silicon Valley Judge : Judge Lucy H. Koh, who gained fame during her handling of the high-profile patent infringement lawsuit between Apple and Samsung Electronics, has become the de facto judge for landmark Silicon Valley lawsuits.",1.0
456,2014-04-02,"Daily Report: Old Rivalry Aired Again in Patent Case Between Apple and Samsung : Apple’s suit against Samsung can be seen as a reprisal of an earlier lawsuit between the two companies, only this time with Google as a shadow third presence.",1.0
455,2014-04-02,"Apple and Samsung Reprise Patent Fight (With Google a Shadow Presence) : The lawsuit is Apple’s second big patent action against Samsung Electronics, and the proceedings took on an air of something of a reunion bringing together a vastly dysfunctional family.",1.0
451,2014-04-04,"Apple and Samsung Fight Over Who Was the Follower : As a patent trial continued, Samsung’s lawyers showed internal Apple documents to paint a picture of Apple as a fading brand, concerned about its future after Samsung entered the handset market.",0.0
450,2014-04-06,Apple’s Deep Pockets: What $159 Billion Could Do : The maker of iPads and iPhones has a problem that anyone would like to have: What to do with a vast amount of cash.,2.0
454,2014-04-07,"Email From Steve Jobs Hints at How Apple Ticks : A 2010 email written by Steven P. Jobs, which Samsung lawyers obtained as evidence to present to jurors, provides an outline that provides several tidbits about how Apple ticks.",1.0
458,2014-04-07,"Using iTunes on a Windows Tablet : Plus, how to unlock a stuck iPhone screen.",1.0
452,2014-04-08,"Comcast Gives a Nod to a Future Apple Set-Top Box : In papers relating to its proposed merger with Time Warner Cable, the company gives a nod to a future Apple set-top box, even though Apple hasn’t introduced one yet.",1.0
453,2014-04-09,Readers Respond: How Should Apple Spend Its Billions? : Readers offer a wide range of suggestions for how Apple could spend the $159 billion in cash it has on hand.,1.0
460,2014-04-12,"The Apple Chronicles : These days, the tech industry is battling over patents instead of new products.",1.0
466,2014-04-12,"Samsung Calls on Google Executive to Defend Innovation : Google is not officially a defendant in this case, but most of Samsung’s phones include Android, and some of the Apple patents involve features that Google put in Android.",1.0
464,2014-04-14,"Samsung Executive Says Marketing Drove Phone Sales to No. 1 : Todd Pendleton, the chief marketing officer for Samsung’s American division, said that Samsung had a better phone than Apple before he arrived, people just didn’t know about it.",2.0
467,2014-04-15,"Notes of Orange, Apple and Brooklyn : What’s that in the air — spring? Ah, no, it’s the scents from Twisted Lily and Atelier Cologne, two new perfume shops in Brooklyn.",1.0
462,2014-04-16,"Samsung Saw Death of Apple’s Jobs as a Time to Attack : According to an email exchange presented in court, Samsung executives saw the death of Steven P. Jobs in 2011 as an opportunity to attack the iPhone.",0.0
461,2014-04-18,"In the Battle for Best Smartphone, Apple Still Beats Samsung : Samsung’s newest phone, the Galaxy S5, is a very nice device. But it falls far short of Apple’s iPhone.",0.0
469,2014-04-18,Volvo XC90: The First of a New Breed : The XC90 is an S.U.V. that is the first of a new line of vehicles from the Swedish automaker that will include a new connected-car system that works with Apple’s CarPlay. app.,1.0
479,2014-04-21,"Times Minute | Tech Earnings Preview : Apple, Microsoft and Amazon will issue quarterly reports this week. Also on the Minute, the effect of California’s water crisis and celebrating 100 years of Wrigley Field.",1.0
478,2014-04-21,"Focus Turns to Samsung’s Patents at Trial : On Monday, Samsung said Apple had copied some technology — including a method for transmitting video over wireless devices.",1.0
470,2014-04-23,"Apple’s Stock Split: Attracting the Wrong Crowd? : Although splitting shares should make no difference, one study suggests it creates a shift toward short-term investors.",0.0
472,2014-04-23,"Apple’s Profit Still Climbs, but Pressure is Growing : The slowdown in earnings has put pressure on the company to release products in new categories — perhaps with a so-called smart watch.",0.0
477,2014-04-23,"Times Minute | Easing Prison Sentences : Also on the Minute, Syria’s humanitarian crisis, and the risks people take to find their iPhones.",1.0
476,2014-04-24,"Tech Giants Settle Antitrust Hiring Suit : Apple, Google, Intel and Adobe reached an agreement with plaintiffs over charges that the companies conspired not to hire one another’s employees.",0.0
473,2014-04-24,An iPhone Engineer-Turned-Game Maker Shares His Apple Story : Francisco Tolmasky’s experience building software for the original iPhone offers a rare window into the company’s start-up-like product development.,1.0
471,2014-04-30,"Apple and Samsung Cite, and Rebut, Internal Memos in Patent Case : Lawyers for Apple and Samsung presented closing arguments in the latest billion-dollar patent dispute between the mobile phone and tablet makers.",1.0
485,2014-05-03,"Mixed Verdict in Apple-Samsung Patent Fight : The dispute between technology rivals ended with an award of nearly $120 million in damages to Apple and $158,000 to Samsung.",1.0
484,2014-05-05,"Verdict in Apple-Samsung Patent Trial : The jury found that some Samsung smartphones and tablets had violated Apple patents covering things like the slide-to-unlock feature, which opens the phone’s features to users. The bulk of the damages — $99 million — were for a patent that covered a method for so-called quick links.",0.0
488,2014-05-05,"A Red-Hot Rumor About Apple Falls Apart : A post about a new Apple product on the anonymous app Secret quickly became a national news item among the tech press last week. On Monday, its author said the whole thing had been made up.",0.0
487,2014-05-07,Huawei Unveils New Phone to Compete With Apple and Samsung : The Chinese tech giant isn’t backing away from its efforts to gain ground on the leaders in global smartphone sales.,2.0
489,2014-05-08,"Apple Publishes Expanded Report on How It Handles Government Data Requests : The guidelines include notifying customers when their information is being sought by law enforcement officials, except for when that would be illegal or put people in danger.",1.0
486,2014-05-08,Apple Said to Be in Talks to Buy Rising Music Brand for $3.2 Billion : A deal for Beats Electronics could signal an effort by Apple to transform its approach to music more than a decade after it opened the iTunes download store.,2.0
480,2014-05-09,"Apple’s Midlife Crisis : As it approaches its 40th year, Apple is displaying signs of middle-age spread, says Peter Thal Larsen of Reuters Breakingviews.",0.0
482,2014-05-09,"In Beats Deal, a New Direction for Apple : An acquisition could signal a new strategy for a company that in the past has preferred to build technology from within.",1.0
483,2014-05-09,"An Apple Deal for Beats? The Reaction on the Web : Apple’s potential $3.2 billion acquisition of Beats Electronics, the company behind the Dr. Dre headphones, has ignited a flurry of activity on social media.",1.0
481,2014-05-10,"Apple’s Pursuit of Beats May Foretell a Shift : Apple, which has been hesitant to enter the streaming market, could finally be taking the plunge.",1.0
494,2014-05-12,Saving Your Favorite Videos on YouTube : Plus how to back up an iPod Nano.,1.0
495,2014-05-12,"Daily Report: Plaintiff in Silicon Valley Suit Asks Judge to Reject Proposed Deal : Michael Devine, one of four plaintiffs named in the class action against Apple, Google, Intel and Adobe, has asked the judge in the case to reject the settlement his own lawyers negotiated.",0.0
497,2014-05-12,"Plaintiff in Silicon Valley Hiring Suit Maligns Deal : Michael Devine, one of four plaintiffs named in the class action against Apple, Google, Intel and Adobe, has asked the judge in the case to reject the settlement his own lawyers negotiated.",0.0
499,2014-05-16,"Former Executive Sues for Stake in Beats Electronics, Object of Apple’s Desire : The founder of a company bought by Beats says he was fired unfairly before his shares could vest.",0.0
490,2014-05-17,"Apple and Google End Patent Fights : Apple and Google, fierce rivals in mobile software, agreed to dismiss patent lawsuits related to smartphone technology between the two companies.",1.0
491,2014-05-17,"Yearning for a Bigger (Apple) Smartphone : While I’ve owned an Apple iPhone for the past seven years, seeing a lot of larger Android devices on the market has caused me to have big phone envy.",1.0
492,2014-05-17,The Harmony They Want to Hear : An Apple-Beats Electronics combination could jump-start two important industries: music and wearable technology.,2.0
504,2014-05-28,"Apple to Pay $3 Billion to Buy Beats : In a move that will help Apple play catch-up with rivals that offer subscription-based music services, the company will offer both Beats’s streaming music service and its premium headphones.",2.0
500,2014-05-29,"The Flaws of Apple’s iMessage : Because the service comes installed on iPhones, and in my experience is turned on by default, it is hugely popular. But there are many good alternative services.",1.0
501,2014-05-29,"A New Irreverent Spirit at Apple : The music impresario Jimmy Iovine, who agreed to sell Beats Electronics to Apple for $3 billion on Wednesday, pulled no punches as he talked about his new employer, the competition and Silicon Valley.",1.0
502,2014-05-29,"Jimmy Iovine, a Master of Beats, Lends Apple a Skilled Ear : Apple is betting that Mr. Iovine’s four decades in the recording industry, his knack for trend-spotting and his credibility with artists will help rejuvenate its music business.",2.0
503,2014-05-29,Times Minute | How Beats Helps Apple : Apple makes the largest acquisition in its history. What buying Beats means for the company and for you.,1.0
505,2014-05-29,"Daily Report: In Buying Beats, Apple Bets on a Founder’s Skilled Ear : In acquiring Beats Electronics, Apple is hoping that its co-founder, Jimmy Iovine, will help Apple rejuvenate its music business nearly three years after the death of Steven P. Jobs.",1.0
508,2014-05-30,"Keeping Windows 8.1 Up to Date : Plus, how to move from Windows XP to a Mac.",1.0
506,2014-05-30,"What the Beats Deal Says About Apple: It Loves Tastemakers : If Silicon Valley is bent on replacing human judgment with algorithmic efficiency, the Beats deal shows that Apple wants to hold itself up as the one tech company that stands proudly against that trend.",1.0
507,2014-05-31,"The iPhone 6 Rumors Heat Up : The Apple rumor mill is in full swing, talking about a larger iPhone 6. It is expected to come in two sizes. But do customers really want a bigger iPhone?",1.0
511,2014-06-01,"At WWDC, Apple Is Set to Make Push Into Monitoring Health and Home : Apple is expected to introduce mobile apps that will track a user’s health and fitness routine, and smart home devices, at its annual Worldwide Developers’ Conference.",2.0
510,2014-06-02,Apple Unveils iOS 8 and OS X Yosemite at Developer Conference : The company announced a series of changes intended to help juggle content across Macs and iPhones and iPads.,1.0
513,2014-06-02,"Daily Report: At WWDC, Apple Expected to Expand Into Health and Home Monitoring : Apple is said to be ready to introduce mobile apps that will track a user’s health and fitness routine, and smart home devices, potentially turning niche categories into consumer must-haves.",2.0
512,2014-06-03,"WWDC Dissected: A New Era for Apple, but an End for Some Apps : On the heels of Apple’s WWDC keynote presentation, New York Times tech columnists Molly Wood and Farhad Manjoo discuss the hits and misses in the big announcements.",1.0
514,2014-06-07,When a Shared ID Leads to a Grim Predicament : Apple’s new family sharing program will come too late for those embroiled in disastrous situations because of inadvertently shared private messages.,0.0
519,2014-06-09,"Split decision on Apple stock split : Apple's stock ran up ahead of its stock split, but now that its taken effect, there is disagreement on what it will mean for investors. Bobbi Rebell reports.",1.0
522,2014-06-11,Tax Breaks for Apple and Starbucks Investigated by E.U. : The European Union has begun an investigation into how low-tax nations like Ireland have helped large multinationals like Apple and Starbucks reduce their tax bills by billions of dollars.,0.0
520,2014-06-15,"Tim Cook, Making Apple His Own : While the company’s enthusiasts impatiently await new wizardry, the new chief executive is trying to make the brand bigger than the next big iThing.",1.0
526,2014-06-16,"Q. and A. With Stuart Elliott : The song in a commercial for Apple brings back memories, but the company and its agency are not divulging the name of the singer.",1.0
528,2014-06-16,"A Smartphone Keyboard App That Anticipates What You Want to Type : SwiftKey’s app for Android, which the London start-up made available free last week, is used on almost 250 million handsets. Now the company hopes to develop a relationship with Apple.",2.0
521,2014-06-16,"Jonathan Ive on Apple’s Design Process and Product Philosophy : Apple’s design chief, who rarely speaks publicly, said in a recent interview that the company’s design processes remained unchanged, vibrant and healthy.",1.0
524,2014-06-18,"Pro-Democracy Media Company’s Websites Attacked : The websites of Next Media, which publishes Apple Daily, an independent Hong Kong newspaper often critical of the Chinese government, were offline for hours in the largest Internet attack the company has experienced.",0.0
523,2014-06-19,"Smartphones Embracing ‘Kill Switches’ as Theft Defense : Since Apple introduced anti-theft technology in September, police in several cities say iPhone thefts have dropped. Now, Google and Microsoft are also adding “kill switches.”",2.0
534,2014-06-23,The Apple Conundrum : Two women selling apples come up a dollar short. What happened?,1.0
535,2014-06-23,"Sugar rush in wearable devices : Samsung, Apple and Google are working to get their wearable devices to monitor blood sugar. Blood tracking could grow into a $12 billion market. Fred Katayama reports.",2.0
532,2014-06-25,"Angela Ahrendts Finally Speaks at Apple, and It Is Not What You Expect : In a LinkedIn post, the former Burberry chief executive offers some observations on starting again.",1.0
531,2014-06-27,"In Class Action Against Apple and Others, Concerns From the Judge : Four prominent Silicon Valley companies — Apple, Google, Intel and Adobe — are offering $324 million to get rid of a case that says they conspired in secret no-poaching deals to keep their engineers. The judge isn’t convinced the deal is fair.",0.0
530,2014-06-30,Apple Expands iTunes U Education App for iPads : Apple will soon take another step toward persuading schools to ditch textbooks in favor of iPads by giving instructors a tool to teach from the tablet.,2.0
547,2014-07-03,"Prepaid Mobile Data Plans for International Travel : Also, how to get everything from an iPod, even if you didn’t buy it through the same computer.",1.0
540,2014-07-07,Apple Poaches an LVMH Executive : The Tag Heuer vice president’s defection to Apple is Apple’s third luxury-to-tech hire since last year. It’s now officially a trend.,2.0
542,2014-07-07,Q. and A. With Stuart Elliott : A guessing game is centered on the voice behind the “Chicken Fat” song remake in an Apple commercial.,1.0
555,2014-07-11,Amazon Sued Over Billing for App Store Purchases : The Federal Trade Commission contended that Amazon improperly billed customers for “many millions of dollars” of charges that children made without their parents’ consent.,0.0
556,2014-07-15,"Apple and IBM Team Up on Business Apps : CNBC’s Josh Lipton spoke with Timothy D. Cook, Apple’s chief, and his counterpart at IBM, Virginia M. Rometty about the new partnership between the two companies.",1.0
550,2014-07-15,"Apple Joins With IBM on Business Software : The two companies have been working on more than 100 software programs developed for Apple’s iOS operating system, tailoring them for use in industries.",1.0
551,2014-07-16,"Daily Report: Apple and IBM Form ‘Landmark Partnership’ on Business Software : The two companies have been working on more than 100 software programs developed for Apple’s iOS operating system, tailoring them for use in industries.",1.0
558,2014-07-16,Apple Could Pay $400 Million in E-Books Price-Fixing Case : The number is in for how much Apple might have to pay to consumers to settle charges that it conspired with publishers to raise e-book prices: $400 million.,0.0
552,2014-07-17,"Apple Adds Susan Wagner of BlackRock to Board : Ms. Wagner will be the only board member from a company focusing on finance. Apple’s longest-serving director, Bill Campbell, will be retiring, the company said.",1.0
553,2014-07-18,"Maxing Out Gmail Storage : Plus, how to remote control and share between Macs.",1.0
